CustomerID,Recency,Frequency,Monetary,R,F,M,RFM Score,Segment
60081.0,297,2,55.28,1,4,4,144,at risk
60082.0,307,1,7.5,1,1,1,111,hibernating
60083.0,307,1,9.4,1,1,1,111,hibernating
60084.0,307,1,5.25,1,1,1,111,hibernating
60085.0,307,1,84.99,1,1,4,114,hibernating
60086.0,307,1,84.99,1,1,4,114,hibernating
60087.0,307,1,84.99,1,1,4,114,hibernating
60088.0,307,1,84.99,1,1,4,114,hibernating
60089.0,307,1,84.99,1,1,4,114,hibernating
60090.0,307,1,84.99,1,1,4,114,hibernating
60092.0,307,1,84.99,1,1,4,114,hibernating
60093.0,307,1,84.99,1,1,4,114,hibernating
60094.0,307,1,18.84,1,1,2,112,hibernating
60095.0,307,1,84.99,1,1,4,114,hibernating
60096.0,307,1,20.0,1,1,3,113,hibernating
60097.0,307,1,84.99,1,1,4,114,hibernating
60098.0,307,1,84.99,1,1,4,114,hibernating
60099.0,307,1,84.99,1,1,4,114,hibernating
60100.0,307,1,11.99,1,1,2,112,hibernating
60101.0,307,1,84.99,1,1,4,114,hibernating
60102.0,307,1,84.99,1,1,4,114,hibernating
60103.0,307,1,84.99,1,1,4,114,hibernating
60104.0,307,1,20.0,1,1,3,113,hibernating
60105.0,307,1,84.99,1,1,4,114,hibernating
60106.0,307,1,84.99,1,1,4,114,hibernating
60107.0,134,5,35.16,4,5,3,453,loyal customers
60108.0,307,1,11.99,1,1,2,112,hibernating
60109.0,307,1,5.99,1,1,1,111,hibernating
60110.0,307,1,71.25,1,1,4,114,hibernating
60111.0,58,5,274.0,5,5,5,555,champions
60112.0,307,1,64.0,1,1,4,114,hibernating
60113.0,307,1,2.5,1,1,1,111,hibernating
60114.0,307,1,18.93,1,1,2,112,hibernating
60115.0,264,2,73.72,1,4,4,144,at risk
60116.0,307,1,6.6,1,1,1,111,hibernating
60122.0,307,1,21.9,1,1,3,113,hibernating
60123.0,220,6,499.875,2,5,5,255,can't loose
60124.0,263,2,16.96,1,4,2,142,at risk
60131.0,306,1,17.5,1,1,2,112,hibernating
60132.0,306,1,23.700000000000003,1,1,3,113,hibernating
60133.0,301,2,1423.14,1,4,5,145,at risk
60134.0,302,2,391.49,1,4,5,145,at risk
60135.0,306,2,51.33,1,4,4,144,at risk
60137.0,286,2,21.130000000000003,1,4,3,143,at risk
60139.0,306,1,2.5,1,1,1,111,hibernating
60141.0,306,1,5.05,1,1,1,111,hibernating
60142.0,306,1,59.67,1,1,4,114,hibernating
60144.0,306,1,15.0,1,1,2,112,hibernating
60145.0,306,1,6.0,1,1,1,111,hibernating
60147.0,305,2,181.97,1,4,5,145,at risk
60148.0,299,2,159.99,1,4,4,144,at risk
60149.0,306,1,8.57,1,1,1,111,hibernating
60150.0,226,3,35.02,2,5,3,253,can't loose
60151.0,306,1,6.67,1,1,1,111,hibernating
60152.0,306,1,12.49,1,1,2,112,hibernating
60154.0,306,1,3.16,1,1,1,111,hibernating
60155.0,306,1,4.55,1,1,1,111,hibernating
60157.0,306,1,3.5,1,1,1,111,hibernating
60159.0,306,1,12.549999999999999,1,1,2,112,hibernating
60161.0,306,1,10.0,1,1,2,112,hibernating
60162.0,306,1,6.45,1,1,1,111,hibernating
60163.0,250,2,42.0,1,4,3,143,at risk
60164.0,306,1,24.45,1,1,3,113,hibernating
60166.0,306,1,21.99,1,1,3,113,hibernating
60167.0,250,2,97.69,1,4,4,144,at risk
60169.0,284,2,22.34,1,4,3,143,at risk
60171.0,306,1,7.5,1,1,1,111,hibernating
60172.0,306,1,15.0,1,1,2,112,hibernating
60174.0,306,1,21.5,1,1,3,113,hibernating
60177.0,208,6,51.3,3,5,4,354,loyal customers
60178.0,306,1,100.0,1,1,4,114,hibernating
60179.0,306,1,8.99,1,1,1,111,hibernating
60183.0,306,1,17.6,1,1,2,112,hibernating
60186.0,306,1,14.2,1,1,2,112,hibernating
60187.0,305,2,56.09,1,4,4,144,at risk
60188.0,306,1,21.25,1,1,3,113,hibernating
60190.0,253,2,29.6,1,4,3,143,at risk
60191.0,305,1,33.0,1,1,3,113,hibernating
60193.0,306,1,84.99,1,1,4,114,hibernating
60194.0,306,1,39.85,1,1,3,113,hibernating
60195.0,306,1,9.35,1,1,1,111,hibernating
60196.0,306,1,49.0,1,1,3,113,hibernating
60198.0,306,1,9.24,1,1,1,111,hibernating
60199.0,306,1,87.07,1,1,4,114,hibernating
60203.0,306,1,3.75,1,1,1,111,hibernating
60204.0,306,1,25.0,1,1,3,113,hibernating
60205.0,306,1,7.73,1,1,1,111,hibernating
60208.0,306,1,10.39,1,1,2,112,hibernating
60209.0,306,1,5.99,1,1,1,111,hibernating
60210.0,299,15,548.45,1,5,5,155,can't loose
60211.0,267,3,39.55,1,5,3,153,can't loose
60212.0,305,1,49.0,1,1,3,113,hibernating
60214.0,305,1,15.0,1,1,2,112,hibernating
60216.0,305,1,3.5,1,1,1,111,hibernating
60218.0,305,1,17.75,1,1,2,112,hibernating
60219.0,305,1,9.780000000000001,1,1,1,111,hibernating
60220.0,305,1,20.0,1,1,3,113,hibernating
60221.0,259,2,45.24,1,4,3,143,at risk
60222.0,305,5,340.44,1,5,5,155,can't loose
60223.0,305,1,4.35,1,1,1,111,hibernating
60224.0,226,3,43.970000000000006,2,5,3,253,can't loose
60225.0,305,1,1.7,1,1,1,111,hibernating
60226.0,219,2,20.490000000000002,3,4,3,343,loyal customers
60227.0,59,3,21.06,5,5,3,553,champions
60228.0,200,3,44.88,3,5,3,353,loyal customers
60229.0,305,1,15.9,1,1,2,112,hibernating
60230.0,305,1,15.18,1,1,2,112,hibernating
60234.0,305,1,24.33,1,1,3,113,hibernating
60235.0,305,1,2.5,1,1,1,111,hibernating
60238.0,305,1,2.0,1,1,1,111,hibernating
60239.0,305,1,2.2,1,1,1,111,hibernating
60240.0,305,1,0.48,1,1,1,111,hibernating
60241.0,305,1,21.5,1,1,3,113,hibernating
60243.0,304,2,17.42,1,4,2,142,at risk
60244.0,305,1,8.99,1,1,1,111,hibernating
60245.0,305,1,4.95,1,1,1,111,hibernating
60246.0,305,1,16.0,1,1,2,112,hibernating
60247.0,305,1,14.0,1,1,2,112,hibernating
60250.0,297,1,19.86,1,1,2,112,hibernating
60251.0,222,3,42.478,2,5,3,253,can't loose
60255.0,305,1,11.99,1,1,2,112,hibernating
60257.0,296,1,7.58,1,1,1,111,hibernating
60259.0,305,1,3.95,1,1,1,111,hibernating
60260.0,305,1,5.04,1,1,1,111,hibernating
60261.0,305,1,14.99,1,1,2,112,hibernating
60262.0,305,1,49.0,1,1,3,113,hibernating
60263.0,305,1,8.99,1,1,1,111,hibernating
60264.0,305,1,33.0,1,1,3,113,hibernating
60266.0,305,1,5.99,1,1,1,111,hibernating
60267.0,304,1,189.0,1,1,5,115,hibernating
60268.0,305,1,6.25,1,1,1,111,hibernating
60269.0,305,2,7.98,1,4,1,141,at risk
60270.0,301,2,10.540000000000001,1,4,2,142,at risk
